nom_,activites_,breve_description_,objets_ou_materiaux_concernes_,lactivite_de_la_structure_est-elle_en_sommeil_ou_a_letat_de_projet__,statut_juridique_,nombre_de_personnes_physiques_adherentes_ou_membres_du_projet,nombre_de_personnes_morales_adherentes_de_la_structure_,nombre_de_salaries,secteur_geographique_dintervention,description_complete,site_internet,numero_de_telephone,e-mail_en_fait_ils_ne_sont_pas_affiches_sur_le_site_pour_eviter_les_spams,nom_du_premier_local,adresse_du_premier_local,code_postal_du_premier_local,ville_du_premier_local,nom_du_deuxieme_local,adresse_du_deuxieme_local,code_postal_du_deuxieme_local,ville_du_deuxieme_local,logo,page_facebook,page_facebook_,nom_du_premier_contact,fonction_du_premier_contact,moyen_de_joindre_le_premier_contact,nom_du_deuxieme_contact,fonction_du_deuxieme_contact,moyen_de_joindre_le_deuxieme_contact,la_structure_est_une_antenne_locale_dune_structure_nationale_dont_le_siege_nest_pas_en_pays_de_la_loire,lien_vers_fiche_de_presentation_de_la_structure_chez_ecopole,lien_vers_fiche_de_presentation_du_deuxieme_local_chez_cartoquartiers,lien_vers_fiche_de_presentation_structure_dans_annuaire_ville_de_nantes,lien_vers_fiche_de_presentation_du_premier_local_chez_cartoquartiers,categorie_principale,lien_vers_noeud_openstreetmap_du_deuxieme_local,lien_vers_noeud_openstreetmap_du_premier_local,video_de_presentation,images,username,fee_id,expires_on
"Kerhea","Fabrication de produits zéro déchet","produits entièrement issus du végétal dont nous couvrons l’ensemble du cycle de vie. ","vaisselle jetable","La structure est active.","Entreprise ","1-10","0","2-5","Vendée et la région"," Conception, la fabrication, la commercialisation, jusqu’à la collecte et au recyclage de la matière biosourcée. ","https://kerhea.com/,","","sonia.sellin@kerhea.com","","","","","","","","","2300,,Logo-kerhea.png","https://www.facebook.com/Kerhea-107983923933925/?hc_ref=ARR2vaWrXEb2TMe89ooTNCXGzW-nuOWMt6xsVI3nHl5PhTXBBk6wrebqB3NM3w8DPzk&fref=nf&__tn__=kC-R","https://www.facebook.com/Kerhea-107983923933925/?hc_ref=ARR2vaWrXEb2TMe89ooTNCXGzW-nuOWMt6xsVI3nHl5PhTXBBk6wrebqB3NM3w8DPzk&fref=nf&__tn__=kC-R,","Sonia Sellin","Salariée","0659890268","Lucien Kerisit","","","","","","","","","","","","Logo-kerhea-1.png","Kerhea","2",""
"La Ressourcerie de l'île","Information sur la réduction des déchets à la source (hors stand);Récupération articles puériculture, jouets, livres ou vêtements enfants;Récupération des livres en bon état;Récupére des objets usagés, les vérifie/nettoie et les revends","Promeut le réemploi et la réutilisation d'objets, de vêtements et de mobilier pour professionnels et particuliers. ","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée","La structure est active.","Association","21-50","21-50","5-10","Nantes et les environs","","","","contact@laressourceriedelile.com","","90 Rue de la Basse Île, 44400 Rezé","","","","","","","2289,,la_ressourcerie_de_lile-1.png","","","Josselin Evrard","Adjoint de Direction / Responsable communication","josselin.evrard@laressourceriedelile.com","","","","Non","http://www.ecopole.com/visite-de-la-ressourcerie-de-l-ile,","","","","","","https://www.openstreetmap.org/way/84706368,","http://www.laressourceriedelile.com/actualites/medias/videos-152,","s_visite_ressourcerie.jpg","LaRessourcerieDeLile","2",""
"La belle ère","Récupère les déchets du bâtiment","Société de conseil en économie circulaire et réemploi à Nantes, dans le domaine de la construction, rénovation et aménagement.","déchets du bâtiment","La structure est active.","Entreprise ","","0","1-2","Nantes et les environs","Accompagne les acteurs du bâtiment, exploitants et occupants, désirant s’intégrer dans la transition écologique et réduire leur impact sur la planète : économie circulaire, réemploi des matières et matériaux, démarche zéro déchet, mutualisation des usages et urbanisme temporaire.","https://labelleere.com/,","0663744657","contact@labelleere.com","","","","","","","","","2277,,la_belle_ere-1.png","","","Charlène Beaudaire","Fondatrice de La belle ère, Coordinateur de bon sens, Economie Circulaire & Urbanisme transitoire","Mail : contact@labelleere.com","","","","","","","","","","","","","la_belle_ere.png","LaBelleEre","2",""
"Kiem &amp; co","Atelier de couture de tissus récupérés","Couture éthique","sacs en tissu;tissus et vêtements","La structure est active.","Association","","0","1-2","","- Animation textile ( recyclage, teinture naturelle, accessoires de maison, ameublement...)\n- Cours de couture et retouches atelier solidaire pour l'accès à la dignité vestimentaire (possibilité d'acquérir les techniques pour se confectionner ou réparer simplement ses vêtements et accessoires)\n - Découverte / sensibilisation / valorisation de la nature et de ses bienfaits. Développement de la créativité par des balades photographiques. \n- Rencontre intergénérationnelle ayant pour but la transmission de l'artisanat. Tricot, peinture sur textile etc.\n- Valorisation des artisans. Dynamiser les actions de la galerie / créer des partenariats et événements (expo, défilé, apéro découverte zéro déchet) avec des entreprises , associations et acteurs locaux (exemple au Bocal pour les ateliers bee wrap zéro déchet spécial cuisine)","","","assokiem@gmail.com","","Résidence les Roches","1 av Remi Belleau","44300 Nantes","","","","","","","","Fanny NGUYEN VAN","Membre","Téléphone : 07 54 44 11 76","","","","Non","https://www.gralon.net/mairies-france/loire-atlantique/association-association-kiem-et-co-nantes_W442025226.htm,","","","","","","","","","KiemAndCo","2",""
"J'aime tes bocaux et tes sacs aussi","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Promotion des contenants réutilisables auprès des commerçants","Une initiative citoyenne, reconnue qui mobilise une communauté de citoyens et de commerçants pour engager de plus en plus de personnes dans une consommation zéro déchet.\nRejoindre la communauté, c’est s’engager dans une démarche de réduction des emballages du quotidien en offrant la possibilité aux clients d’apporter leurs propres contenants.","bouteilles de verre;papier et cartonnette;sacs en tissu","La structure est active.","Association","1-10","0","0","Loire- Atlantique","L’association J’aime tes bocaux et tes sacs aussi, est une initiative citoyenne inspirante qui mobilise une communauté de citoyens et de commerçants ayant pour objet d’engager de plus en plus de personnes dans la réduction des déchets du quotidien.  \nSa mission est de promouvoir et d’accompagner l’utilisation des contenants réutilisables dans le commerce alimentaire (de proximité), de sensibiliser et de faciliter l’adoption des solutions existantes sur le territoire.\nSes objectifs (et axes de travail): \n- engager et mobiliser les commerçants dans une démarche de réduction des emballages du quotidien en acceptant aux clients d’apporter leur propre contenant pour servir leurs produits ;\n- accompagner les citoyens dans leurs démarches de transition écologique ; \n- faciliter l’émergence de communautés locales de J’aime tes bocaux sur d’autres territoires ;\n- favoriser l’émergence des solutions de réduction d’emballages, en répondant aux demandes de partenaires, au cas par cas ;\n- et toute autre initiative allant dans le sens de la mission de l’association.\n\nL’Association J’AIME TES BOCAUX ET TES SACS AUSSI est guidée par les valeurs d’indépendance, de transparence, d’action collective et pour le bien commun, de non-violence et de persévérance. Elle s’interdit tout engagement partisan, financier, religieux, syndical ou corporatiste.\n \n L’Association J’AIME TES BOCAUX ET TES SACS AUSSI exerce ses activités sur TERRITOIRE NATIONAL ET INTERNATIONAL au moyen notamment d'actions devant toutes les juridictions, administrations et organisations, locales, régionales, nationales ou internationales.\nL’association est sans but lucratif.\n","https://www.facebook.com/jaimetesbocaux/,","0621342355","jaimetesbocaux@gmail.com","La Galerie du Zéro Déchet","place Dulcie September, ","44000","Nantes","","","","","2233,,jaimetesbocaux-2-1-scaled.jpg","https://www.facebook.com/jaimetesbocaux/","https://www.facebook.com/jaimetesbocaux/,","MIREILLE VAN DER GRAAF","Membre","0621342355","Claire Canonne","Trésorerier","","Non","","","","","","","","","jaimetesbocaux-2-scaled.jpg;jaimetesbocaux-6-scaled.jpg;jaimetesbocaux-11-scaled.jpg","JaimeTesBocaux","2",""
"Articonnex","Information sur la réduction des déchets à la source (hors stand);Plateforme d'échange de matériaux ou d'objets entre professionnels","Plateforme de l'économie collaborative et circulaire de l'artisanat du bâtiment.\nWeb-magazine pédagogique pour les acteurs du bâtiment\nEntrepôt de stockage de matériaux neuf et réemploi","bois (hors meubles);déchets du bâtiment","La structure est active.","Entreprise ","1-10","plus de 50","1-2","de la Région nantaise à la presqu'ile guérandaise","Articonnex est une plateforme de services créée par des artisans pour les artisans.\nSon objectif est de développer la coopération et les échanges entre artisans tout en favorisant les économies et la réduction des déchets.\nAfin de détourner de la benne aux matériaux encore utilisable, Articonnex produit des articles et cas concrets sur le réemploi et la gestion de bon sens des entreprises artisanales via le web-magazine magazine.articonnex.com\nEnfin pour accompagner les acteurs du bâtiment, Articonnex a ouvert un premier entrepôt test de récupération et stockage des matériaux à la place des artisans (gain de temps et d'espace pour eux).","https://www.articonnex.com/,","0630493144","contact@articonnex.com","Entrepot Articonnex","82 avenue des Noelles","44500","La Baule Escoublac","","","","","2179,,logo-articonnex.jpg","https://www.facebook.com/Articonnex","https://www.facebook.com/Articonnex,","Emmanuel","co-fondateur","Par mail : emmanuel@articonnex.com","","","","Non","","","","","","","","","logo-articonnex-1.jpg;radiateurs-fonte.jpeg;ocean-reinsertion-44-articonnex-conditionnement-dalles-faux-plancher.jpg;camion-bf13-oceanreinsertion.png;IMG_0576-scaled.jpeg","Articonnex","2",""
"RecycLivre","Récupération des livres en bon état","site internet de vente de livres d’occasion original qui créé un lien solidaire entre ses clients et les populations défavorisées.","livres","La structure est active.","Entreprise à mission d'intérêt général","","0","10-25","Antenne nantaise récupère sur Nantes et les environ; revente partout via le site internet","Nous collectons vos livres gratuitement à domicile. Les livres sont ensuite vendus sur internet et 10% sont reversés à des associations œuvrant pour la culture ou l'environnement ! ","http://www.RecycLivre.com,","+33 (0)2 85 52 45 19;","nantes@recyclivre.com","RecycLivre Nantes","9 rue du Chêne Lassé (batiment 4) ","44800","Saint Herblain","","","","","2174,,logo_recyclivre.png","https://www.facebook.com/RecycLivre/","https://www.facebook.com/RecycLivre/,","Vincent Gillet","Responsable antenne de Nantes","Par téléphone au 02 85 52 45 19 ou au 07 83 62 97 71","","","","Oui","","","","","","","https://www.openstreetmap.org/node/7878510012,","","logo_recyclivre-1.png","Recyclivre","2",""
"Le TransiStore","Ateliers produits zéro ""déchet"";Organise des collectes citoyenne de déchets;Organise des espaces de gratuité (inclus boîtes à don et boîtes à livres);Organise ou tient des conférences;Propose ou loue de la vaisselle non jetable;Récupére des objets usagés, les vérifie/nettoie et les revends;Stand sensibilisation réduction ""déchets"";Vente de produits d'occasion","Sensibilisation à la réduction des déchets et Recyclerie conviviale et éco-citoyenne (La Chapelle Sur Erdre)","__toutes les matières habituelles d'un particulier","La structure est active.","Association","21-50","0","0","La Chapelle Sur Erdre","Depuis sa création en 2016, le TransiStore mène des actions en faveur d'une consommation plus responsable. \nPour préserver les ressources de la planète et offrir une alternative aux objets neufs, l'association propose  divers leviers : \n- des ateliers « faire soi-même »: produits ménagers, furoshiki (méthode japonaise pour emballer les cadeaux avec du tissu), tawashi (éponge zéro déchet, fabriquée avec du tissu de récup')... \n- deux BoiTàTroc, la première en centre-ville et la seconde à Gesvrine. Ces lieux d'échange gratuit d'objets de petite taille se renouvellent continuellement. \n- une boutique-café ""La recyclerie"" située Ferme du Plessis. Quand les uns déposent leurs objets de petite taille pour leur offrir une seconde vie, les autres chinent les jolies trouvailles de la boutique dans une ambiance conviviale. \n- divers evenements de sensibilisation : conférence-débat, ramassage citoyen de déchets, jeux de société sur la thématique Déchets, stand Zéro Dechet, etc\n- la mise à disposition d'un kit de vaisselle lavable\nD'autres projets sont en cours de mise en oeuvre : Repair Café, café associatif, etc","http://www.letransistore.org,","","contact@letransistore.org","","","","","","","","","2159,,logoTransiStoreBleu.png","https://www.facebook.com/LeTransiStore/","https://www.facebook.com/LeTransiStore/,","Gaëlle","Co-administratrice","Par mail : contact@letransistore.org","","","","Non","http://www.ecopole.com/adherents/le-transistore-recyclerie-cafe/,","","","","","https://www.openstreetmap.org/node/6387495548,","https://www.openstreetmap.org/node/6553011799,","","logoTransiStoreBleu-1.png;IMG_20190630_103315.jpg;61950819_590147664805652_3429333740050972672_n.jpg;2019-11-renovation-du-projet-Transistore-historique-du-TransiStore-2016-2019-scaled.jpg","LeTransistore","2",""
"ENSEMBLE Le Mag des Eco-solutions","Éditeur de magazine papier ou vidéo","Inspirer le changement positif, et des habitudes de consommation plus respectueuses et éthiques par la valorisation des initiatives positives, notamment en Région Pays de la Loire.\n\nEnsemble le Mag est un magazine mensuel diffusé sur Télénantes, Youtube et les réseaux sociaux.","__toutes les matières habituelles d'un particulier","La structure est active.","Entreprise ","","0","1-2","Nantes et les environs, et Région Pays de la Loire","","https://www.ensemble-lemag.com/,","","ensemble.lemag44@gmail.com","","","","","","","","","2152,,ensemble_le_mag.png","https://www.facebook.com/EnsembleLeMag","https://www.facebook.com/EnsembleLeMag,","Caroline Gabaut","Productrice du magazine Ensemble","33 6 45 25 20 85","","","","Non","","","","","","","","https://www.youtube.com/channel/UCazjI0RssjUnl2wBx4bay2w,","ensemble_le_mag-1.png","EnsembleLeMagDesEcoSolutions","2",""
"Camzel","Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....)","Créations d'accessoires zéro déchet... et mille et un autres projets coutures","sacs en tissu;tissus et vêtements","La structure est active.","Entreprise ","1-10","1-2","0","Nantes et les environs","Camzel vous aide à avancer dans votre démarche vers le zéro déchet que vous soyez novice ou expert.\n \nEntreprise nantaise déclarée, Camzel confectionne des accessoires textiles, principalement en coton biologique et/ou sans produit chimique nocif, pour remplacer le jetable à la maison et diminuer le poids de vos poubelles : lingettes lavables avec panier de rangement, serviettes périodiques lavables avec pochette de transport, pochettes à savon, essuie-tout, mouchoirs, tote bag...","https://www.facebook.com/camzel/,","","veroniqueducourant@yahoo.fr","","","","","","","","","2149,,Camzel_Logo_typo.png","","","Véronique Ducourant","Fondatrice / dirigeante","Message privé sur Facebook","","","","Non","","","","","","","","","Camzel_Logo_typo-1.png;IMG_E0417.jpg;IMG_E0416.jpg;IMG_E0418.jpg","Camzel","2",""
