Nom du lieu ;code;type;Adresse;commentaire;longitude;latitude
la rue Léon Blum à Nantes;leon-blum-nantes;BAC;Rue Léon Blum, 44000 Nantes;24/24;-1.555172; 47.218998
Biocoop - Les Hameaux Bio Nantes;les-hameaux-bio-nantes;BAC;19 Avenue du Marché Commun, 44300 Nantes;24/24;-1.501487; 47.259045
Bionant' - Prairie au Duc;bionant-prairieauduc;ECHANGE DE SEAU;91 Boulevard de la Prairie au Duc, 44200 Nantes;Sur horaires d'ouverture;-1.567106; 47.203912
Bionant' - Fouré;bionant-foure;ECHANGE DE SEAU;28 Rue Fouré, 44000 Nantes;Sur horaires d'ouverture;-1.546737; 47.212410
la galerie du zéro déchet à Nantes;galeriezerodechet-nantes;BAC;entrée Place Dulcie September, 5 Rue Fénelon, 44000 Nantes;Accessible le mercredi et le samedi de 14h à 17h30;-1.5543250438777136;47.21708806211316
Le Badérioc;le-baderioc-nantes;BAC;4 Rue du Chapeau Rouge, 44000 Nantes;24/24;-1.559555; 47.215235
"La conciergerie - 
Inspiration";la-conciergerie-dinspirations;CO-PRO;21 Rue Léon Durocher, 44200 Nantes ;Accessible uniquement le mardi par les habitants de la résidence; -1.5606390018443956; 47.20501851262972
Baywa r.e.;baywa-nantes;ENTREPRISE;10 Rue du Président Edouard Herriot, 44000 Nantes;Accessible uniquement pour les collaborateurs de l'entreprise;-1.5603532464145604;47.21897510277823
Graines d'ici;grainesdici;LIVRAISON;-;Accessible en ligne lors de la commande de votre panier à domicile sur grainesdici.fr;-;
Les jolis bocaux;lesjolisbocaux-nantes;ECHANGE DE SEAU;2 Rue Yves Bodiguel, 44000 Nantes;Sur heures d'ouverture;-1.5597169886185631; 47.22199013001822
Day by day Nantes;daybyday-nantes;ECHANGE DE SEAU;3 Rue Pierre Chéreau, 44000 Nantes;Accessible uniquement le mardi et le samedi;-1.5593263456956796; 47.21684174219106
Graines d'ici - marchés;grainesdici-marches;BAC-ITINERANT;Rue Talensac, 44000 Nantes;Accessible du mardi au dimanche, de 9h à 12h30 sur le stand de Graines d'Ici;-1.5578801715501551; 47.22157245280735
Velocampus;velocampus;BAC;3 Chemin de la Censive du Tertre, 44300 Nantes;24/24;-1.5544347868920956; 47.243432803256255
Les filles du marronnier;lesfillesdumarronnier;BAC;3 Boulevard Gabriel Lauriol, 44300 Nantes;Sur heures d'ouverture;-1.5634574003853137; 47.234855575841
